다발지식별자,다발지그룹식별자,법정동코드,스팟코드,관할경찰서,다발지명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6233904,2017027,4825010700,48250002,경상남도 김해시2,경상남도 김해시 삼계동(화정마을4단지 아아파크가야아파트 부근),3,3,0,1,2,0,128.8692362,35.26685711,"{""type"":""Polygon"""
6231366,2017027,4825012500,48250001,경상남도 김해시1,경상남도 김해시 장유면(장구공원 부근),3,3,0,2,1,0,128.8021429,35.20365013,"{""type"":""Polygon"""
6233597,2017027,4719010900,47190001,경상북도 구미시1,경상북도 구미시 형곡동(형곡중앙시장 부근),3,3,0,1,2,0,128.3359913,36.10677162,"{""type"":""Polygon"""
6233268,2017027,4719011700,47190002,경상북도 구미시2,경상북도 구미시 임은동(한울공원 부근),3,3,0,0,3,0,128.3581216,36.08785027,"{""type"":""Polygon"""
6233905,2017027,5011010200,50110002,제주특별자치도 제주시2,제주특별자치도 제주시 일도이동(영도제나빌 부근),4,4,0,0,4,0,126.5412645,33.50518289,"{""type"":""Polygon"""
6233906,2017027,5011010600,50110004,제주특별자치도 제주시4,제주특별자치도 제주시 삼도이동(KT제주지사 부근),3,5,0,1,3,1,126.5253004,33.50480204,"{""type"":""Polygon"""
6232305,2017027,4729010700,47290002,경상북도 경산시2,경상북도 경산시 옥곡동(한일유앤아이아파트 부근),3,4,0,1,3,0,128.73264170000002,35.81334518,"{""type"":""Polygon"""
6233598,2017027,4729012600,47290001,경상북도 경산시1,경상북도 경산시 사동(뚜레쥬르 사동화성파크점 부근),4,4,0,1,3,0,128.7543287,35.81105372,"{""type"":""Polygon"""
6233907,2017027,5011010700,50110005,제주특별자치도 제주시5,제주특별자치도 제주시 건입동(스낵타스티 부근),3,3,0,0,3,0,126.53580759999998,33.51384057,"{""type"":""Polygon"""
6233270,2017027,5011012200,50110001,제주특별자치도 제주시1,제주특별자치도 제주시 노형동(본죽제주노형점 부근),4,4,0,2,2,0,126.4767311,33.48808028,"{""type"":""Polygon"""
6233599,2017027,4812112900,48121001,경상남도 창원시 의창구1,경상남도 창원시 의창구 팔용동(원풍아파트 부근),3,3,0,2,1,0,128.61606310000002,35.25341505,"{""type"":""Polygon"""
6232014,2017027,4817011600,48170001,경상남도 진주시1,경상남도 진주시 수정동(봉래초교 부근),3,4,0,3,1,0,128.08579540000002,35.19957811,"{""type"":""Polygon"""
6233271,2017027,5011012200,50110003,제주특별자치도 제주시3,제주특별자치도 제주시 노형동(이화아파트 부근),4,4,0,0,3,1,126.47359679999998,33.48442,"{""type"":""Polygon"""
6232022,2017027,5011012200,50110006,제주특별자치도 제주시6,제주특별자치도 제주시 노형동(월랑초교 부근),3,3,0,0,3,0,126.4792058,33.49287467,"{""type"":""Polygon"""
6232954,2017027,4159011700,41590002,경기도 화성시2,경기도 화성시 병점동(롯데시네마 부근),3,3,0,1,2,0,127.043059,37.21451905,"{""type"":""Polygon"""
6233592,2017027,4159011800,41590001,경기도 화성시1,경기도 화성시 능동(한마음초교사거리 부근),3,3,0,3,0,0,127.0527386,37.20839115,"{""type"":""Polygon"""
6233272,2017027,1129013400,11290001,서울특별시 성북구1,서울특별시 성북구 길음동(미아초교앞 부근),3,3,0,1,2,0,127.0225286,37.61035661,"{""type"":""Polygon"""
6233276,2017027,2729012000,27290002,대구광역시 달서구2,대구광역시 달서구 월성동(농로네거리 부근),3,4,0,2,2,0,128.5261545,35.82470046,"{""type"":""Polygon"""
6232625,2017027,2817010500,28170001,인천광역시 남구1,인천광역시 남구 도화동(도화초교 부근),4,4,0,1,3,0,126.6680991,37.46407472,"{""type"":""Polygon"""
6232018,2017027,3114010400,31140002,울산광역시 남구2,울산광역시 남구 신정동(신정초교 부근),3,3,0,2,1,0,129.30392129999998,35.53847335,"{""type"":""Polygon"""
6233584,2017027,4111113000,41111001,경기도 수원시 장안구1,경기도 수원시 장안구 정자동(효천초교사거리 부근),3,3,0,0,3,0,126.9851707,37.2937811,"{""type"":""Polygon"""
6233595,2017027,4315011600,43150001,충청북도 제천시1,충청북도 제천시 장락동(장락주공아파트1단지 부근),3,3,0,2,1,0,128.22388020000002,37.1553387,"{""type"":""Polygon"""
6231367,2017027,4375025024,43750001,충청북도 진천군1,충청북도 진천군 진천읍(진천읍사무소 부근),4,4,0,2,2,0,127.4415673,36.85450582,"{""type"":""Polygon"""
6231349,2017027,1130510100,11305002,서울특별시 강북구2,서울특별시 강북구 미아동(수유초교 부근),3,3,0,1,2,0,127.0212867,37.63029054,"{""type"":""Polygon"""
6232307,2017027,1130510200,11305001,서울특별시 강북구1,서울특별시 강북구 번동(서울북부고용노동지청 부근),3,4,0,1,2,1,127.0346253,37.63524362,"{""type"":""Polygon"""
6231354,2017027,2818510100,28185001,인천광역시 연수구1,인천광역시 연수구 옥련동(우성아파트 부근),3,3,0,1,1,1,126.6464172,37.42438185,"{""type"":""Polygon"""
6233279,2017027,2917010700,29170003,광주광역시 북구3,광주광역시 북구 용봉동(현대 아이파크 부근),3,3,0,1,2,0,126.8901146,35.18033547,"{""type"":""Polygon"""
6232638,2017027,4111313700,41113001,경기도 수원시 권선구1,경기도 수원시 권선구 권선동(곡선초교 부근),4,4,0,3,1,0,127.025208,37.25010096,"{""type"":""Polygon"""
6233585,2017027,4113110200,41131001,경기도 성남시 수정구1,경기도 성남시 수정구 태평동(한전 사거리 부근),4,4,0,0,3,1,127.1301033,37.44472629,"{""type"":""Polygon"""
6233267,2017027,4711125621,47111001,경상북도 포항시 남구1,경상북도 포항시 남구 오천읍(원동3지구 근린공원 부근),3,3,0,2,1,0,129.4027485,35.96491731,"{""type"":""Polygon"""
6231985,2017027,4713012400,47130001,경상북도 경주시1,경상북도 경주시 황성동(황성현대5차아파트 부근),5,5,0,2,3,0,129.2186577,35.86729112,"{""type"":""Polygon"""
6231669,2017027,1135010400,11350002,서울특별시 노원구2,서울특별시 노원구 하계동(중계그린아파트 부근),3,3,0,1,0,2,127.0642841,37.63928578,"{""type"":""Polygon"""
6233273,2017027,1135010600,11350001,서울특별시 노원구1,서울특별시 노원구 중계동(중계주공5단지아파트 부근),4,4,0,2,2,0,127.0761229,37.65144758,"{""type"":""Polygon"""
6232626,2017027,2917011000,29170004,광주광역시 북구4,광주광역시 북구 우산동(문흥초교 부근),3,3,0,1,2,0,126.9154219,35.17965558,"{""type"":""Polygon"""
6233278,2017027,2917011200,29170002,광주광역시 북구2,광주광역시 북구 문흥동(문흥지구 부근),3,4,0,1,3,0,126.9226807,35.18504247,"{""type"":""Polygon"""
6232944,2017027,4113110200,41131002,경기도 성남시 수정구2,경기도 성남시 수정구 태평동(성남초교 부근),3,3,0,1,2,0,127.1454331,37.44678079,"{""type"":""Polygon"""
6233586,2017027,4113110200,41131003,경기도 성남시 수정구3,경기도 성남시 수정구 태평동(금빛초교 부근),2,2,1,0,1,0,127.1409687,37.44819862,"{""type"":""Polygon"""
6232955,2017027,4211012300,42110001,강원도 춘천시1,강원도 춘천시 퇴계동(남부초교 부근),4,6,0,0,6,0,127.72587,37.85846521,"{""type"":""Polygon"""
6233593,2017027,4213010700,42130001,강원도 원주시1,강원도 원주시 단구동(현대2차아파트 부근),3,4,0,0,4,0,127.951013,37.32184716,"{""type"":""Polygon"""
6231987,2017027,1150010600,11500001,서울특별시 강서구1,서울특별시 강서구 내발산동(우장산공원입구 부근),3,3,0,1,1,1,126.8376128,37.55477165,"{""type"":""Polygon"""
6233274,2017027,1156012400,11560001,서울특별시 영등포구1,서울특별시 영등포구 문래동6가(문래한신아파트 부근),5,5,0,1,4,0,126.8847855,37.51930845,"{""type"":""Polygon"""
6232627,2017027,2917012900,29170001,광주광역시 북구1,광주광역시 북구 연제동(영광회관 부근),4,4,0,1,2,1,126.8726509,35.19766519,"{""type"":""Polygon"""
6231353,2017027,2920011500,29200001,광주광역시 광산구1,광주광역시 광산구 월계동(장고분앞 교차로 부근),5,7,0,4,2,1,126.8439199,35.21338331,"{""type"":""Polygon"""
6233587,2017027,4113310500,41133001,경기도 성남시 중원구1,경기도 성남시 중원구 상대원동(상대원2동 주민센터 부근),5,5,0,1,3,1,127.1583294,37.43825735,"{""type"":""Polygon"""
6231674,2017027,4119510800,41195001,경기도 부천시 원미구1,경기도 부천시 원미구 중동(부광초교 부근),3,4,0,1,3,0,126.7635747,37.50709370000001,"{""type"":""Polygon"""
6233265,2017027,4611015800,46110002,전라남도 목포시2,전라남도 목포시 상동(목포우성우편취급국 부근),4,4,0,0,4,0,126.422208,34.79992639,"{""type"":""Polygon"""
6233264,2017027,4611015900,46110001,전라남도 목포시1,전라남도 목포시 용해동(포미타운주공1단지아파트 부근),4,4,0,2,2,0,126.397718,34.8174821,"{""type"":""Polygon"""
6232312,2017027,1159010200,11590003,서울특별시 동작구3,서울특별시 동작구 상도동(신대방삼거리역 부근),3,3,0,1,2,0,126.928997,37.49967168,"{""type"":""Polygon"""
6232310,2017027,1159010500,11590001,서울특별시 동작구1,서울특별시 동작구 흑석동(중앙대학교병원 부근),5,6,0,3,3,0,126.9619428,37.50694996,"{""type"":""Polygon"""
6232629,2017027,2920011500,29200004,광주광역시 광산구4,광주광역시 광산구 월계동(금광아파트 부근),3,3,0,1,2,0,126.8365246,35.22070785,"{""type"":""Polygon"""
6231373,2017027,2920011900,29200003,광주광역시 광산구3,광주광역시 광산구 신가동(선창초교 부근),3,3,1,1,1,0,126.8339519,35.18815359,"{""type"":""Polygon"""
6233588,2017027,4119710200,41197001,경기도 부천시 소사구1,경기도 부천시 소사구 심곡본동(부천남초교 부근),4,5,0,3,2,0,126.7816472,37.48027202,"{""type"":""Polygon"""
6232949,2017027,4119910500,41199001,경기도 부천시 오정구1,경기도 부천시 오정구 고강동(고강사거리 부근),5,5,0,3,2,0,126.8168149,37.52642624,"{""type"":""Polygon"""
6232959,2017027,4513014100,45130001,전라북도 군산시1,전라북도 군산시 수송동(군산아리울초교 부근),5,5,0,2,3,0,126.719659,35.96764321,"{""type"":""Polygon"""
6232958,2017027,4513014400,45130002,전라북도 군산시2,전라북도 군산시 나운동(보건소사거리 부근),5,7,0,0,7,0,126.7002035,35.96154379,"{""type"":""Polygon"""
6232311,2017027,1159010800,11590002,서울특별시 동작구2,서울특별시 동작구 대방동(성남고 부근),3,4,0,1,3,0,126.92507890000002,37.50493414,"{""type"":""Polygon"""
6232313,2017027,1174010500,11740001,서울특별시 강동구1,서울특별시 강동구 길동(길동초교 부근),4,4,0,2,1,1,127.143679,37.53810972,"{""type"":""Polygon"""
6232628,2017027,2920012300,29200002,광주광역시 광산구2,광주광역시 광산구 장덕동(장덕초교 부근),4,5,0,3,2,0,126.8130552,35.18668217,"{""type"":""Polygon"""
6232630,2017027,3014010100,30140002,대전광역시 중구2,대전광역시 중구 은행동(선화사거리 부근),3,3,0,1,2,0,127.4226863,36.33109388,"{""type"":""Polygon"""
6233589,2017027,4121010200,41210001,경기도 광명시1,경기도 광명시 철산동(성일하이츠 부근),4,4,0,0,4,0,126.8636365,37.48584121,"{""type"":""Polygon"""
6231988,2017027,4127110400,41271001,경기도 안산시 상록구1,경기도 안산시 상록구 본오동(광장웰빙사우나 부근),4,4,0,2,2,0,126.8725617,37.29483795,"{""type"":""Polygon"""
6231677,2017027,4217010900,42170001,강원도 동해시1,강원도 동해시 쇄운동(북삼새마을금고 한마음지점 부근),3,3,0,2,1,0,129.10831409999997,37.48622705,"{""type"":""Polygon"""
6231999,2017027,4221010600,42210001,강원도 속초시1,강원도 속초시 교동(대명늘푸른아파트 부근),3,5,0,3,1,1,128.5704512,38.20486406,"{""type"":""Polygon"""
6231048,2017027,2626010400,26260002,부산광역시 동래구2,부산광역시 동래구 낙민동(스펀지유치원 부근),3,3,0,2,1,0,129.0961778,35.19435129,"{""type"":""Polygon"""
6232315,2017027,2626010900,26260001,부산광역시 동래구1,부산광역시 동래구 사직동(예원초교 부근),3,3,0,2,1,0,129.0578519,35.19658974,"{""type"":""Polygon"""
6232631,2017027,3014010300,30140001,대전광역시 중구1,대전광역시 중구 목동(목동초교 부근),3,3,0,1,2,0,127.4092225,36.33376059,"{""type"":""Polygon"""
6232632,2017027,3017010600,30170002,대전광역시 서구2,대전광역시 서구 탄방동(탄방주공아파트1단지 부근),3,3,1,1,1,0,127.39359240000002,36.34170212,"{""type"":""Polygon"""
6232950,2017027,4127310700,41273001,경기도 안산시 단원구1,경기도 안산시 단원구 초지동(주공14단지 교차로 부근),4,7,2,3,2,0,126.81483529999998,37.31047827,"{""type"":""Polygon"""
6233591,2017027,4141010500,41410001,경기도 군포시1,경기도 군포시 금정동(금정초교사거리 부근),3,4,0,2,1,1,126.9426186,37.36572131,"{""type"":""Polygon"""
6233266,2017027,4613012800,46130001,전라남도 여수시1,전라남도 여수시 학동(부영3단지사거리 부근),5,6,0,0,6,0,127.6676908,34.75937555,"{""type"":""Polygon"""
6231371,2017027,4623010600,46230001,전라남도 광양시1,전라남도 광양시 중동(성호2차아파트 부근),3,3,0,2,1,0,127.69243,34.93236932,"{""type"":""Polygon"""
6231991,2017027,2629010700,26290001,부산광역시 남구1,부산광역시 남구 용호동(동문교회 부근),3,3,0,1,2,0,129.1082143,35.11978114,"{""type"":""Polygon"""
6232029,2017027,2638010100,26380001,부산광역시 사하구1,부산광역시 사하구 괴정동(대티역 부근),4,4,0,1,3,0,128.9989353,35.10301621,"{""type"":""Polygon"""
6231993,2017027,3017011000,30170003,대전광역시 서구3,대전광역시 서구 내동(내동초교 부근),3,3,0,2,1,0,127.38054479999998,36.33135332,"{""type"":""Polygon"""
6232633,2017027,3017011300,30170001,대전광역시 서구1,대전광역시 서구 월평동(갑천초교 부근),4,4,0,2,2,0,127.3662696,36.35999896,"{""type"":""Polygon"""
6231025,2017027,4146510200,41465001,경기도 용인시 수지구1,경기도 용인시 수지구 죽전동(극동스타클래스 부근),3,4,1,0,2,1,127.1203563,37.32266347,"{""type"":""Polygon"""
6231356,2017027,4146510700,41465002,경기도 용인시 수지구2,경기도 용인시 수지구 상현동(상현마을쌍용스윗닷홈 부근),3,3,0,3,0,0,127.0778313,37.30183252,"{""type"":""Polygon"""
6232957,2017027,4513014400,45130003,전라북도 군산시3,전라북도 군산시 나운동(진포초교 부근),5,5,0,0,5,0,126.7032021,35.96565378,"{""type"":""Polygon"""
6233596,2017027,4513014400,45130004,전라북도 군산시4,전라북도 군산시 나운동(축동사거리 부근),3,3,0,1,2,0,126.7106379,35.96411795,"{""type"":""Polygon"""
6232316,2017027,2647010200,26470001,부산광역시 연제구1,부산광역시 연제구 연산동(연천초교 부근),3,3,0,1,2,0,129.0997338,35.18655673,"{""type"":""Polygon"""
6231041,2017027,2650010500,26500001,부산광역시 수영구1,부산광역시 수영구 남천동(남천해변시장 부근),3,3,0,0,3,0,129.1088043,35.13951122,"{""type"":""Polygon"""
6232634,2017027,3020014700,30200001,대전광역시 유성구1,대전광역시 유성구 송강동(그린아파트B 부근),3,3,0,1,1,1,127.3839294,36.43179146,"{""type"":""Polygon"""
6232635,2017027,3023010700,30230001,대전광역시 대덕구1,대전광역시 대덕구 송촌동(선비마을5단지 부근),4,6,0,2,4,0,127.4453936,36.36554756,"{""type"":""Polygon"""
6232003,2017027,4150011000,41500001,경기도 이천시1,경기도 이천시 송정동(송정초교 부근),3,3,0,1,2,0,127.4337591,37.29508534,"{""type"":""Polygon"""
6231374,2017027,4150025000,41500002,경기도 이천시2,경기도 이천시 장호원읍(장호원초교 부근),3,3,0,1,2,0,127.62650759999998,37.11622336,"{""type"":""Polygon"""
6233594,2017027,4311210600,43112002,충청북도 청주시 서원구2,충청북도 청주시 서원구 분평동(청주서원도서관 부근),5,5,0,0,5,0,127.4892156,36.60854459,"{""type"":""Polygon"""
6232956,2017027,4311210700,43112001,충청북도 청주시 서원구1,충청북도 청주시 서원구 수곡동(산남세원청실아파트103동 부근),6,6,0,3,3,0,127.4723727,36.61741838,"{""type"":""Polygon"""
6232318,2017027,2711012200,27110001,대구광역시 중구1,대구광역시 중구 공평동(동성로교회 부근),3,4,0,2,2,0,128.5981696,35.86874604,"{""type"":""Polygon"""
6233277,2017027,2729012000,27290001,대구광역시 달서구1,대구광역시 달서구 월성동(월서초교 부근),4,4,0,1,3,0,128.53159399999998,35.82109859,"{""type"":""Polygon"""
6232636,2017027,3111010900,31110001,울산광역시 중구1,울산광역시 중구 성안동(백양초교 부근),3,3,0,0,2,1,129.3185168,35.57662020000001,"{""type"":""Polygon"""
6232637,2017027,3114010400,31140001,울산광역시 남구1,울산광역시 남구 신정동(신정현대홈타운 3단지 부근),4,4,0,1,2,1,129.32218799999998,35.5300543,"{""type"":""Polygon"""
