발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,경도,위도,발생지,사고피해정도,사고차량타입,도시여부,주말/공휴일,인구수,발생지번호
2019-01-12,야간,토,2,10,4,0,0,대구,달성군,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승합차,128.4698,35.6937,대구달성군,2,승용차승합차,0,1,0,30
2019-01-13,야간,일,1,15,4,3,0,경기,하남시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,127.2398,37.488,경기하남시,2,승용차화물차,0,1,0,67
2019-01-24,야간,목,3,13,4,1,0,강원,삼척시,차대차,측면충돌,안전거리 미확보,단일로,지하차도(도로)내,화물차,승용차,129.189,37.4246,강원삼척시,2,화물차승용차,0,0,0,78
2019-03-12,야간,화,2,12,5,0,0,경북,경산시,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,128.757,35.8197,경북경산시,2,승용차승용차,0,0,0,52
2019-03-23,주간,토,1,22,0,7,7,경기,용인시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,127.1037,37.3325,경기용인시,2,승합차승용차,0,1,0,51
2019-04-05,주간,금,1,18,0,1,15,경기,용인시,차대차,기타,안전거리 미확보,단일로,기타단일로,건설기계,승용차,127.1037,37.3298,경기용인시,2,건설기계승용차,0,0,0,51
2019-05-15,야간,수,2,12,3,2,0,인천,연수구,차대차,정면충돌,신호위반,교차로,교차로내,승합차,승합차,126.6647,37.3859,인천연수구,2,승합차승합차,0,0,0,35
2019-05-21,주간,화,1,13,4,2,0,전남,곡성군,차량단독,공작물충돌,과속,단일로,기타단일로,승용차,없음,127.1447,35.2825,전남곡성군,2,승용차없음,0,0,0,147
2019-06-07,주간,금,1,18,3,5,1,경기,평택시,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.0993,37.1255,경기평택시,2,승용차승용차,0,0,0,14
2019-06-17,주간,월,1,18,0,6,5,경기,파주시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,126.8647,37.8456,경기파주시,2,승합차승합차,0,0,0,175
2019-06-18,야간,화,2,64,17,14,0,충남,아산시,차대차,측면충돌,신호위반,교차로,교차로내,화물차,승합차,127.0939,36.8298,충남아산시,2,화물차승합차,0,0,0,53
2019-07-04,주간,목,1,26,2,10,1,경남,양산시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,129.0488,35.37,경남양산시,2,승용차승용차,0,0,0,49
2019-07-20,야간,토,1,15,5,2,0,서울,영등포구,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,126.9032,37.5355,서울영등포구,2,승합차없음,0,1,0,150
2019-07-22,주간,월,4,22,8,1,0,강원,삼척시,차량단독,전복,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,129.1512,37.1054,강원삼척시,2,승합차없음,0,0,0,78
2019-07-25,야간,목,2,16,2,5,0,경기,시흥시,차대차,추돌,안전운전 의무 불이행,단일로,교량위,특수차,승용차,126.7674,37.3751,경기시흥시,2,특수차승용차,0,0,0,73
2019-08-03,주간,토,1,50,4,18,5,경기,광주시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,127.2726,37.447,경기광주시,2,승합차승용차,0,1,0,9
2019-09-22,주간,일,1,35,2,15,0,대구,동구,차량단독,공작물충돌,과속,단일로,기타단일로,승합차,없음,128.69,35.8828,대구동구,2,승합차없음,0,1,0,26
2019-09-25,주간,수,1,33,7,7,4,경기,의왕시,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,126.9997,37.382,경기의왕시,2,승합차없음,0,0,0,199
2019-09-27,야간,금,2,16,2,5,0,인천,남동구,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,126.7421,37.4414,인천남동구,2,화물차화물차,0,0,0,29
2019-10-03,야간,목,1,59,4,20,10,경기,용인시,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승합차,127.1334,37.2681,경기용인시,2,승용차승합차,0,1,0,51
2019-10-05,주간,토,1,13,4,2,0,충남,천안시,차량단독,공작물충돌,과속,단일로,기타단일로,승합차,없음,127.175,36.8105,충남천안시,2,승합차없음,0,1,0,63
2019-10-12,주간,토,2,24,4,5,4,경기,이천시,차대차,추돌,안전거리 미확보,단일로,기타단일로,승합차,승용차,127.4439,37.2018,경기이천시,2,승합차승용차,0,1,0,41
2019-10-18,주간,금,1,19,0,9,0,제주,제주시,차대차,기타,신호위반,교차로,교차로내,승용차,승합차,126.5807,33.5173,제주제주시,2,승용차승합차,0,0,0,90
2019-10-21,야간,월,4,8,2,0,0,경기,연천군,차대차,측면충돌,과속,교차로,교차로내,승용차,승용차,127.0695,38.0571,경기연천군,2,승용차승용차,0,0,0,106
2019-10-25,주간,금,1,30,5,8,3,서울,송파구,차대차,측면충돌,신호위반,교차로,교차로내,승합차,승용차,127.1397,37.507,서울송파구,2,승합차승용차,0,0,0,156
2019-10-25,주간,금,1,17,1,7,0,경기,화성시,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승합차,126.9215,37.1371,경기화성시,2,승용차승합차,0,0,0,50
2019-10-29,주간,화,1,29,3,11,0,전남,해남군,차대차,기타,기타,단일로,기타단일로,승합차,농기계,126.6222,34.5652,전남해남군,2,승합차농기계,0,0,0,119
2019-10-31,주간,목,1,16,2,5,1,경기,의정부시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,건설기계,화물차,127.058,37.7073,경기의정부시,2,건설기계화물차,0,0,0,64
2019-11-03,야간,일,1,23,7,4,0,전북,고창군,차량단독,전복,안전운전 의무 불이행,교차로,교차로부근,승합차,없음,126.5845,35.3056,전북고창군,2,승합차없음,0,1,0,219
2019-11-03,주간,일,1,13,6,0,0,전남,담양군,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,126.9243,35.3586,전남담양군,2,승용차승용차,0,1,0,181
2019-11-17,주간,일,1,27,4,9,0,대구,수성구,차대차,정면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,128.6322,35.8695,대구수성구,2,승용차승용차,0,1,0,37
2019-11-19,주간,화,1,15,4,3,0,경남,창원시(통합),차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,특수차,화물차,128.6387,35.1944,경남창원시(통합),2,특수차화물차,0,0,0,86
2019-12-04,주간,수,1,49,2,22,0,충북,음성군,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승합차,승용차,127.6649,36.9367,충북음성군,2,승합차승용차,0,0,0,110
2019-12-08,주간,일,1,15,3,4,0,부산,북구,차대차,추돌,안전운전 의무 불이행,교차로,교차로내,승용차,화물차,128.9907,35.1968,부산북구,2,승용차화물차,0,1,0,118
2019-12-12,주간,목,2,16,1,6,0,경기,남양주시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승합차,127.2042,37.7265,경기남양주시,2,승용차승합차,0,0,0,70
2019-12-14,야간,토,6,56,13,12,0,경북,군위군,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,128.4456,36.2588,경북군위군,2,승용차승용차,0,1,0,170
2019-12-14,야간,토,1,33,11,5,0,경북,군위군,차대차,추돌,안전운전 의무 불이행,단일로,교량위,화물차,특수차,128.5176,36.2279,경북군위군,2,화물차특수차,0,1,0,170
2019-12-20,주간,금,1,17,6,2,0,경남,양산시,차대차,추돌,과속,단일로,기타단일로,승용차,화물차,129.0352,35.3311,경남양산시,2,승용차화물차,0,0,0,49
2019-12-23,주간,월,1,35,7,10,0,전남,순천시,차대차,기타,과속,단일로,기타단일로,승합차,승용차,127.2658,34.9523,전남순천시,2,승합차승용차,0,0,0,27
2018-04-22,주간,일,1,10,3,2,4,경기,용인시,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.1036,37.286,경기용인시,2,승용차승용차,0,1,0,51
2018-10-23,야간,화,1,15,6,8,0,충남,논산시,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,화물차,127.0522,36.1756,충남논산시,2,승합차화물차,0,0,0,61
2018-02-22,야간,목,3,8,2,3,0,충북,청주시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,특수차,127.4267,36.5874,충북청주시,2,승용차특수차,0,0,0,83
2018-10-14,야간,일,1,8,2,5,0,경남,함양군,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,127.7811,35.5442,경남함양군,2,화물차승용차,0,1,0,108
2018-10-03,야간,수,1,9,1,7,0,인천,부평구,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,126.7038,37.5236,인천부평구,2,승용차승용차,0,1,0,44
2018-08-26,주간,일,1,7,5,1,0,경기,가평군,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,127.4974,37.9077,경기가평군,2,승용차승용차,0,1,0,176
2018-02-12,주간,월,1,9,2,5,1,서울,서초구,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,127.0591,37.4421,서울서초구,2,승합차승합차,0,0,0,214
2018-08-28,주간,화,1,9,2,6,0,충남,천안시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,127.1895,36.939,충남천안시,2,화물차승용차,0,0,0,63
2018-05-06,주간,일,1,9,2,6,0,전북,군산시,차대차,기타,안전운전 의무 불이행,교차로,교차로내,화물차,승합차,126.8774,36.0175,전북군산시,2,화물차승합차,0,1,0,166
2018-04-13,야간,금,1,13,5,7,0,전남,목포시,차대차,측면충돌,신호위반,교차로,교차로내,승합차,승용차,126.4179,34.8114,전남목포시,2,승합차승용차,0,0,0,153
2018-04-27,주간,금,1,10,2,7,0,경북,상주시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,127.9216,36.4452,경북상주시,2,승합차승용차,0,0,0,58
2018-04-09,주간,월,1,7,6,0,0,경기,포천시,차량단독,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,화물차,없음,127.2627,37.8221,경기포천시,2,화물차없음,0,0,0,171
2018-11-11,주간,일,2,10,4,4,0,서울,송파구,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승합차,127.0855,37.5168,서울송파구,2,승용차승합차,0,1,0,156
2018-07-18,야간,수,1,20,5,14,0,부산,동래구,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,129.0797,35.2037,부산동래구,2,승합차보행자,0,0,0,216
2018-05-27,주간,일,1,12,2,5,4,경기,시흥시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,126.7424,37.3832,경기시흥시,2,화물차승용차,0,1,0,73
2018-04-02,주간,월,1,22,2,19,0,경기,화성시,차대차,추돌,안전운전 의무 불이행,교차로,교차로부근,건설기계,승용차,126.7766,37.2068,경기화성시,2,건설기계승용차,0,0,0,50
2018-07-04,주간,수,1,9,0,8,0,충북,충주시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.8899,36.9077,충북충주시,2,승용차승용차,0,0,0,6
2018-12-06,야간,목,1,20,13,6,0,충북,충주시,차대차,추돌,안전운전 의무 불이행,단일로,터널안,승합차,건설기계,127.7609,37.039,충북충주시,2,승합차건설기계,0,0,0,6
2018-09-15,주간,토,1,7,6,0,0,전북,고창군,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승용차,126.555,35.4263,전북고창군,2,승용차승용차,0,1,0,219
2018-06-08,야간,금,2,7,3,2,0,경남,함양군,차대차,추돌,안전운전 의무 불이행,단일로,고가도로위,화물차,화물차,127.7628,35.5814,경남함양군,2,화물차화물차,0,0,0,108
2018-07-14,주간,토,1,13,3,9,0,광주,북구,차대차,기타,안전운전 의무 불이행,단일로,고가도로위,승용차,승용차,126.9293,35.1938,광주북구,2,승용차승용차,0,1,0,137
2018-04-26,야간,목,1,10,1,8,0,충북,괴산군,차대차,추돌,안전운전 의무 불이행,단일로,터널안,화물차,화물차,128.0115,36.7463,충북괴산군,2,화물차화물차,0,0,0,179
2018-10-12,주간,금,1,13,3,9,0,충북,음성군,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,127.4717,36.9842,충북음성군,2,화물차승용차,0,0,0,110
2018-08-02,주간,목,1,8,7,0,0,충남,아산시,차대차,정면충돌,중앙선 침범,단일로,기타단일로,화물차,승합차,126.9887,36.6973,충남아산시,2,화물차승합차,0,0,0,53
2018-06-26,야간,화,1,8,4,3,0,전북,완주군,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,127.2501,35.8104,전북완주군,2,화물차화물차,0,0,0,28
2018-10-23,야간,화,2,6,4,0,0,충남,홍성군,차대차,기타,기타(운전자법규위반),단일로,기타단일로,화물차,승용차,126.553,36.6232,충남홍성군,2,화물차승용차,0,0,0,38
2018-05-01,야간,화,1,7,5,1,0,경북,청도군,차대차,측면충돌,교차로 통행방법 위반,교차로,교차로내,승용차,승용차,128.7506,35.6503,경북청도군,2,승용차승용차,0,0,0,3
2018-04-22,주간,일,1,9,7,1,0,경북,구미시,차대차,측면충돌,직진 및 우회전차의 통행방해,교차로,교차로내,화물차,승용차,128.3561,36.1847,경북구미시,2,화물차승용차,0,1,0,144
2018-06-23,주간,토,1,10,0,9,0,경북,영천시,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,128.8589,35.9914,경북영천시,2,승용차승용차,0,1,0,5
2018-09-04,주간,화,2,17,8,7,0,경남,고성군,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,128.2189,34.9933,경남고성군,2,승합차없음,0,0,0,87
2018-09-02,주간,일,3,8,4,1,0,경남,고성군,차대차,정면충돌,중앙선 침범,교차로,교차로부근,승용차,승용차,128.3562,35.0436,경남고성군,2,승용차승용차,0,1,0,87
2018-10-10,주간,수,1,10,2,7,0,인천,남구,차대차,추돌,안전운전 의무 불이행,교차로,교차로내,화물차,승용차,126.6789,37.4444,인천남동구,2,화물차승용차,0,0,0,29
2018-01-23,주간,화,1,15,3,11,0,울산,남구,차대차,정면충돌,중앙선 침범,교차로,교차로부근,승용차,승용차,129.3474,35.5282,울산남구,2,승용차승용차,0,0,0,213
2018-06-28,주간,목,1,11,3,7,0,울산,울주군,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승합차,129.3367,35.4447,울산울주군,2,승용차승합차,0,0,0,17
2018-08-08,주간,수,2,17,4,11,0,경기,양주시,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승합차,127.0569,37.86,경기양주시,2,승용차승합차,0,0,0,59
2018-12-22,주간,토,2,8,4,2,0,강원,평창군,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,128.4183,37.4151,강원평창군,2,승용차승용차,0,1,0,24
2018-08-07,야간,화,1,7,4,2,0,강원,양양군,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,특수차,승용차,128.5905,38.0746,강원양양군,2,특수차승용차,0,0,0,164
2018-10-29,주간,월,1,19,4,13,1,경기,이천시,차대차,추돌,안전거리 미확보,단일로,기타단일로,승합차,승용차,127.4254,37.2409,경기이천시,2,승합차승용차,0,0,0,41
2018-05-01,주간,화,8,19,7,4,0,전남,영암군,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,126.6896,34.8625,전남영암군,2,승합차승용차,0,0,0,16
2018-01-11,야간,목,1,12,1,9,1,경기,김포시,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,화물차,126.7809,37.5943,경기김포시,2,승합차화물차,0,0,0,47
2018-03-04,야간,일,3,8,4,1,0,강원,홍천군,차대차,추돌,안전운전 의무 불이행,단일로,교량위,승용차,승용차,127.8407,37.7058,강원홍천군,2,승용차승용차,0,1,0,82
2018-05-06,야간,일,1,9,3,5,0,경북,고령군,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,128.2155,35.6525,경북고령군,2,승용차승용차,0,1,0,220
2018-10-15,야간,월,2,12,8,2,0,경북,상주시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,승합차,128.149,36.578,경북상주시,2,화물차승합차,0,0,0,58
2018-04-05,주간,목,2,39,8,29,0,울산,북구,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승합차,129.3981,35.5213,울산북구,2,승용차승합차,0,0,0,158
2018-11-27,주간,화,1,8,3,4,0,경기,성남시,차대차,추돌,과속,단일로,기타단일로,건설기계,승용차,127.0975,37.4246,경기성남시,2,건설기계승용차,0,0,0,95
2018-05-02,야간,수,1,9,2,6,0,경기,광주시,차대차,정면충돌,중앙선 침범,단일로,기타단일로,화물차,승합차,127.2176,37.3581,경기광주시,2,화물차승합차,0,0,0,9
2018-12-15,주간,토,1,11,2,8,0,충남,논산시,차대차,추돌,안전거리 미확보,기타,기타,승용차,승용차,127.0672,36.1356,충남논산시,2,승용차승용차,0,1,0,61
2018-01-22,주간,월,1,9,4,4,0,서울,송파구,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승합차,127.0703,37.5104,서울송파구,2,승용차승합차,0,0,0,156
2018-02-23,야간,금,1,11,4,2,4,강원,정선군,차대차,측면충돌,중앙선 침범,단일로,터널안,승용차,승용차,128.8255,37.2121,강원정선군,2,승용차승용차,0,0,0,198
2018-01-23,주간,화,1,9,2,6,0,전남,여수시,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승합차,127.7204,34.7564,전남여수시,2,승용차승합차,0,0,0,102
2018-07-28,주간,토,1,8,2,5,0,경북,청송군,차대차,정면충돌,중앙선 침범,단일로,기타단일로,화물차,승합차,129.0711,36.3714,경북청송군,2,화물차승합차,0,1,0,203
2017-01-01,야간,일,1,7,4,2,0,충남,공주시,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.0821,36.4118,충남공주시,2,승용차승용차,0,1,0,19
2017-01-10,주간,화,1,9,3,5,0,광주,서구,차대사람,기타,과속,단일로,기타단일로,승용차,보행자,126.8867,35.1503,광주서구,2,승용차보행자,0,0,0,222
2017-01-18,야간,수,1,8,5,2,0,강원,춘천시,차대차,추돌,안전운전 의무 불이행,교차로,교차로부근,승용차,화물차,127.7512,37.8707,강원춘천시,2,승용차화물차,0,0,0,111
2017-01-20,주간,금,1,18,10,7,0,강원,원주시,차량단독,전도,기타(운전자법규위반),단일로,교량위,승합차,없음,127.9868,37.4044,강원원주시,2,승합차없음,0,0,0,36
2017-01-22,주간,일,1,9,0,8,0,경기,파주시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,126.8651,37.8462,경기파주시,2,승합차승합차,0,1,0,175
2017-01-30,주간,월,1,7,5,1,0,충남,공주시,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승용차,127.0478,36.462,충남공주시,2,승용차승용차,0,0,0,19
2017-02-01,주간,수,1,7,4,2,0,전남,해남군,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승합차,126.586,34.563,전남해남군,2,승용차승합차,0,0,0,119
2017-02-22,주간,수,1,43,1,41,0,충북,단양군,차량단독,기타,과속,단일로,기타단일로,승합차,없음,128.2937,37.0012,충북단양군,2,승합차없음,0,0,0,204
2017-03-08,주간,수,1,7,5,1,0,경기,광주시,차대차,측면충돌,앞지르기 금지위반,교차로,교차로내,화물차,승합차,127.2771,37.4778,경기광주시,2,화물차승합차,0,0,0,9
2017-03-11,야간,토,1,10,3,6,0,경북,포항시,차대차,측면충돌,직진 및 우회전차의 통행방해,교차로,교차로내,화물차,승합차,129.4316,35.9898,경북포항시,2,화물차승합차,0,1,0,160
2017-03-18,주간,토,2,6,4,0,0,충남,당진시,차대차,정면충돌,과속,교차로,교차로부근,승용차,화물차,126.7866,36.9549,충남당진시,2,승용차화물차,0,1,0,46
2017-03-18,주간,토,1,11,4,6,0,충북,충주시,차대차,추돌,안전운전 의무 불이행,단일로,터널안,화물차,화물차,127.8793,36.9207,충북충주시,2,화물차화물차,0,1,0,6
2017-03-24,야간,금,1,11,3,6,1,경기,고양시,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,126.8554,37.6674,경기고양시,2,화물차승용차,0,0,0,40
2017-04-16,주간,일,1,27,8,17,1,울산,남구,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,129.2727,35.5495,울산남구,2,승합차승용차,0,1,0,213
2017-05-01,야간,월,2,8,5,1,0,충북,영동군,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,127.7982,36.281,충북영동군,2,승합차승용차,0,0,0,75
2017-05-11,주간,목,5,14,1,8,0,강원,평창군,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,128.3299,37.5569,강원평창군,2,승합차승합차,0,0,0,24
2017-05-20,주간,토,1,11,8,2,0,경기,연천군,차대차,측면충돌,신호위반,교차로,교차로내,승합차,화물차,127.1019,38.1597,경기연천군,2,승합차화물차,0,1,0,106
2017-06-13,주간,화,1,10,7,2,0,경기,의정부시,차대차,정면충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,건설기계,127.0695,37.7266,경기의정부시,2,승합차건설기계,0,0,0,64
2017-06-15,주간,목,1,10,2,7,0,대전,유성구,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,127.3254,36.3922,대전유성구,2,화물차화물차,0,0,0,148
2017-06-16,야간,금,2,9,3,3,1,경기,성남시,차대차,추돌,과속,단일로,기타단일로,승용차,승용차,127.1405,37.463,경기성남시,2,승용차승용차,0,0,0,95
2017-07-05,주간,수,2,7,5,0,0,경북,영천시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,승용차,128.9,36.0273,경북영천시,2,화물차승용차,0,0,0,5
2017-07-05,주간,수,2,12,1,9,0,충북,청주시,차대사람,기타,기타(운전자법규위반),교차로,교차로내,승합차,보행자,127.4603,36.635,충북청주시,2,승합차보행자,0,0,0,83
2017-07-09,주간,일,2,16,4,9,1,서울,서초구,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,127.0475,37.4557,서울서초구,2,승합차승용차,0,1,0,214
2017-07-10,야간,월,1,9,3,5,0,경기,화성시,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승합차,126.8388,37.1926,경기화성시,2,승용차승합차,0,0,0,50
2017-07-16,주간,일,1,9,2,6,0,충북,충주시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,127.8458,36.9822,충북충주시,2,승용차승용차,0,1,0,6
2017-07-30,야간,일,1,18,6,11,0,충북,충주시,차대차,추돌,안전운전 의무 불이행,기타,기타,화물차,승용차,127.8483,37.0094,충북충주시,2,화물차승용차,0,1,0,6
2017-08-03,주간,목,1,15,2,12,0,전남,신안군,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승합차,126.1779,35.0822,전남신안군,2,승용차승합차,0,0,0,132
2017-08-09,주간,수,2,12,0,10,0,전남,여수시,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승합차,127.7576,34.6682,전남여수시,2,승용차승합차,0,0,0,102
2017-08-11,야간,금,2,7,5,0,0,전남,함평군,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,126.5341,35.0447,전남함평군,2,승용차승용차,0,0,0,157
2017-08-13,야간,일,1,7,4,2,0,전남,구례군,차대차,측면충돌,신호위반,교차로,교차로내,승용차,화물차,127.4547,35.2297,전남구례군,2,승용차화물차,0,1,0,161
2017-08-28,주간,월,1,19,9,9,0,경남,거제시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,128.5817,34.8688,경남거제시,2,승합차승용차,0,0,0,15
2017-09-02,주간,토,1,105,9,68,27,경기,용인시,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,127.1231,37.0913,경기용인시,2,승합차승합차,0,1,0,51
2017-09-02,주간,토,2,20,8,10,0,충남,천안시,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,127.1185,36.6935,충남천안시,2,승합차승용차,0,1,0,63
